target,t,L_erpm,R_erpm,L_duty,R_duty,L_iq_target,R_iq_target,L_iq,R_iq,L_id,R_id,L_hall_rej,R_hall_rej,L_seq,R_seq,L_trip,R_trip,L_fault,R_fault
500,0.10041792800620897,0,0,0.022,0.02,0.156,0.156,-0.123,0.036,-0.068,0.018,0,0,0,0,0,0,0,0
500,0.5644131270018988,21,25,0.048,0.079,0.448,0.4,0.335,0.333,-0.15,0.098,0,0,0,0,0,0,0,0
500,1.030962985001679,331,355,0.047,0.065,0.3,0.22,0.172,-0.056,-0.137,0.021,1,0,0,0,0,0,0,0
500,1.5989533250030945,332,387,0.074,0.072,0.39,0.18,0.295,0.116,-0.227,0.398,1,0,0,0,0,0,0,0
500,2.0591726480051875,356,462,0.026,0.071,0.4,0.18,0.111,-0.045,-0.152,0.118,1,0,0,0,0,0,0,0
500,2.5273196650014143,533,419,0.126,0.076,0.18,0.18,0.247,-0.188,-0.072,-0.236,2,0,0,0,0,0,0,0
500,3.09538898000028,684,343,0.109,0.084,0.18,0.252,0.2,0.287,-0.196,0.258,2,0,0,0,0,0,0,0
500,3.56394336700032,349,350,0.079,0.068,0.288,0.243,0.553,-0.24,0.771,-0.045,2,0,0,0,0,0,0,0
500,4.04856089399982,426,386,0.103,0.076,0.18,0.192,0.126,0.177,-0.17,-0.056,2,0,0,0,0,0,0,0
500,4.515670026004955,349,352,0.083,0.077,0.235,0.245,0.43,0.016,0.348,-0.037,2,0,0,0,0,0,0,0
1000,0.10141468899382744,320,349,0.1,0.087,0.336,0.37,0.66,0.127,0.472,0.016,2,0,0,0,0,0,0,0
1000,0.5812199919964769,400,687,0.086,0.109,0.4,0.32,0.328,0.445,-0.145,-0.043,2,0,0,0,0,0,0,0
1000,1.0352159469985054,1231,874,0.185,0.135,0.18,0.221,0.216,0.136,0.048,-0.346,2,0,0,0,0,0,0,0
1000,1.594425727998896,947,920,0.149,0.137,0.18,0.18,0.306,0.321,-0.082,-0.017,2,0,0,0,0,0,0,0
1000,2.047859330996289,865,821,0.138,0.131,0.236,0.311,0.231,0.3,0.11,-0.018,2,0,0,0,0,0,0,0
1000,2.5069328889949247,860,914,0.136,0.138,0.225,0.18,0.332,0.243,-0.156,0.121,2,0,0,0,0,0,0,0
1000,3.062449707998894,1159,909,0.161,0.128,0.18,0.185,-0.416,0.537,-0.218,-0.027,2,0,0,0,0,0,0,0
1000,3.525562857998011,970,899,0.141,0.127,0.18,0.203,0.187,0.326,0.008,-0.18,2,0,0,0,0,0,0,0
1000,4.078619066000101,833,769,0.127,0.131,0.257,0.4,0.152,0.105,-0.098,-0.066,2,0,0,0,0,0,0,0
1000,4.536068962996069,970,860,-0.069,0.128,0.18,0.27,4.362,0.326,1.488,0.167,2,0,0,0,0,0,0,0
2000,0.10068689200124936,838,952,0.153,0.135,0.418,0.241,0.391,0.535,0.012,0.181,2,0,0,0,0,0,0,0
2000,0.5668366000027163,1221,1103,0.172,0.162,0.232,0.416,0.598,0.122,0.217,0.107,2,0,0,0,0,0,0,0
2000,1.0499829430045793,1538,1468,0.235,0.209,0.212,0.258,-0.006,0.426,0.038,0.042,2,0,0,0,0,0,0,0
2000,1.5196838789997855,1720,1739,0.252,0.25,0.24,0.235,0.28,-0.102,-0.016,-0.158,2,0,0,0,0,0,0,0
2000,2.078308708005352,1860,1839,0.254,0.255,0.21,0.28,0.643,0.27,0.243,-0.076,2,0,0,0,0,0,0,0
2000,2.542981831000361,1860,1839,0.271,0.255,0.251,0.315,0.367,0.396,0.096,-0.093,2,0,0,0,0,0,0,0
2000,3.0082581040041987,2000,1839,0.283,0.256,0.192,0.251,0.065,0.2,0.303,0.005,2,0,0,0,0,0,0,0
2000,3.5708410190054565,1928,1860,0.269,0.265,0.198,0.253,0.147,0.04,0.063,-0.001,2,0,0,0,0,0,0,0
2000,4.046985511005914,1860,1860,0.266,0.261,0.265,0.288,0.351,0.16,-0.092,-0.12,2,0,0,0,0,0,0,0
2000,4.514382638000825,1882,1860,0.264,0.266,0.196,0.223,0.161,-0.015,0.116,-0.22,2,0,0,0,0,0,0,0
3000,0.10079239700280596,1975,1860,0.28,0.264,0.235,0.31,0.33,0.321,0.052,-0.002,2,0,0,0,0,0,0,0
3000,0.5660567630038713,2162,2162,0.311,0.296,0.347,0.288,0.248,0.091,0.107,-0.055,2,0,0,0,0,0,0,0
3000,1.0305951260015718,2540,2500,0.363,0.333,0.401,0.272,0.225,0.221,0.281,0.103,2,0,0,0,0,0,0,0
3000,1.6008683820036822,2857,2963,0.395,0.373,0.35,0.145,0.348,0.373,-0.183,-0.147,2,0,0,0,0,0,0,0
3000,2.0603810120010166,2909,2963,0.395,0.373,0.278,0.23,0.441,0.403,0.021,-0.038,2,0,0,0,0,0,0,0
3000,2.5112791110004764,3019,2807,0.387,0.367,0.113,0.308,0.33,0.375,0.136,-0.06,2,0,0,0,0,0,0,0
3000,3.0692723949978244,2963,2909,0.392,0.38,0.291,0.235,0.436,0.293,0.188,-0.175,2,0,0,0,0,0,0,0
3000,3.5262752609996824,2857,3077,0.35,0.386,0.305,-0.015,1.463,0.272,-0.396,-0.098,2,0,0,0,0,0,0,0
3000,4.081664924000506,2807,2963,0.382,0.385,0.283,0.075,-0.077,0.027,0.113,-0.138,2,0,0,0,0,0,0,0
