target,t,L_erpm,R_erpm,L_duty,R_duty,L_iq_target,R_iq_target,L_iq,R_iq,L_id,R_id,L_hall_rej,R_hall_rej,L_seq,R_seq,L_trip,R_trip,L_fault,R_fault
500,0.10049110199906863,297,0,0.019,0.008,0.153,0.155,0.172,-0.045,-0.026,-0.081,14,1,0,0,0,0,0,0
500,0.5755744159978349,86,0,0.028,0.035,0.4,0.166,0.163,-0.043,0.023,-0.121,14,1,0,0,0,0,0,0
500,1.069508415996097,514,0,0.119,0.03,0.18,0.212,0.216,0.128,0.05,-0.06,23,1,0,0,0,0,0,0
500,1.5381880669956445,293,0,0.033,0.037,0.18,0.283,0.117,0.208,0.028,-0.038,23,1,0,0,0,0,0,0
500,2.0394633839969174,154,413,0.074,0.091,0.4,0.18,0.258,0.23,0.368,0.05,27,1,0,0,0,0,0,0
500,2.5127141639968613,361,199,0.057,0.037,0.18,0.191,0.038,0.172,0.197,0.058,31,1,0,0,0,0,0,0
500,3.0154657429957297,78,67,0.075,0.077,0.4,0.4,0.298,0.37,-0.05,0.0,32,2,0,0,0,0,0,0
500,3.5988967480006977,604,476,0.101,0.079,0.18,0.18,0.282,0.006,-0.048,-0.101,37,9,0,0,0,0,0,0
500,4.053979097996489,353,440,0.097,0.078,0.4,0.18,-0.705,0.375,-2.058,-0.093,37,9,0,0,0,0,0,0
500,4.537825968996913,442,359,0.085,0.103,0.18,0.222,0.31,-0.09,0.137,-0.133,39,9,0,0,0,0,0,0
1000,0.10063532799540553,455,451,0.076,0.054,0.18,0.18,0.121,0.45,0.068,-0.066,39,9,0,0,0,0,0,0
1000,0.5992654449946713,528,494,0.092,0.069,0.18,0.18,0.223,0.002,0.191,-0.121,39,9,0,0,0,0,0,0
1000,1.0597254409949528,632,542,0.112,0.098,0.18,0.205,0.011,0.105,0.118,-0.023,42,9,0,0,0,0,0,0
1000,1.5061150089968578,936,625,0.135,0.112,0.18,0.251,0.05,0.188,0.085,-0.061,42,9,0,0,0,0,0,0
1000,2.067080150998663,751,788,0.134,0.13,0.36,0.201,0.281,0.287,0.005,-0.028,42,9,0,0,0,0,0,0
1000,2.525484312995104,784,952,0.136,0.138,0.358,0.18,0.288,0.18,0.143,-0.086,42,9,0,0,0,0,0,0
1000,3.0876258040007087,1081,936,0.166,0.134,0.18,0.18,0.218,0.278,-0.135,-0.02,42,9,0,0,0,0,0,0
1000,3.538134229995194,952,860,0.149,0.131,0.18,0.255,0.167,0.301,0.075,0.32,42,9,0,0,0,0,0,0
1000,4.099624564994883,1067,889,0.161,0.133,0.18,0.208,0.102,0.013,0.022,0.118,42,9,0,0,0,0,0,0
1000,4.550506567997218,1103,884,0.136,0.14,0.18,0.22,1.158,0.34,0.417,0.13,42,9,0,0,0,0,0,0
2000,0.10068447999947239,829,899,0.112,0.154,0.147,0.225,0.067,-0.065,0.122,-0.258,42,9,0,0,0,0,0,0
2000,0.5758441600046353,1046,1013,0.151,0.135,0.178,0.158,0.107,0.68,-0.121,-0.031,42,9,0,0,0,0,0,0
2000,1.0535388520002016,941,1119,0.146,0.173,0.327,0.091,0.117,0.457,0.092,-0.065,42,9,0,0,0,0,0,0
2000,1.525777396003832,1221,1119,0.169,0.178,0.061,0.226,0.077,0.245,0.101,0.135,42,9,0,0,0,0,0,0
2000,2.012575500004459,1260,1111,0.19,0.174,0.178,0.302,0.133,0.193,0.162,0.243,42,9,0,0,0,0,0,0
2000,2.5738739500011434,1345,1151,0.203,0.188,0.19,0.381,-0.103,0.295,0.063,-0.503,42,9,0,0,0,0,0,0
2000,3.0696355899999617,1356,1311,0.202,0.181,0.216,0.231,0.212,0.13,0.148,-0.182,42,9,0,0,0,0,0,0
2000,3.565919770000619,1441,1391,0.176,0.201,0.271,0.21,1.911,0.253,1.133,0.083,42,9,0,0,0,0,0,0
2000,4.045616941999469,1429,1495,0.217,0.219,0.293,0.163,0.156,-0.187,-0.032,-0.141,42,9,0,0,0,0,0,0
2000,4.517682803001662,1684,1455,0.23,0.214,0.062,0.33,0.125,0.391,0.096,-0.158,42,9,0,0,0,0,0,0
3000,0.10059497099427972,1553,1553,0.241,0.223,0.347,0.212,0.276,0.101,0.082,-0.006,42,9,0,0,0,0,0,0
3000,0.571464989996457,1569,1633,0.231,0.24,0.273,0.196,0.3,0.192,0.037,0.311,42,9,0,0,0,0,0,0
3000,1.042223804994137,1684,1667,0.244,0.237,0.252,0.256,0.352,0.34,0.063,0.258,42,9,0,0,0,0,0,0
3000,1.5203795859997626,1739,1798,0.241,0.249,0.223,0.223,0.236,0.043,-0.035,0.013,42,9,0,0,0,0,0,0
3000,2.097787516999233,1798,1905,0.252,0.265,0.236,0.135,0.248,-0.095,-0.008,0.116,42,9,0,0,0,0,0,0
3000,2.570687953993911,2051,1905,0.287,0.266,0.156,0.243,0.136,0.34,0.021,0.173,42,9,0,0,0,0,0,0
3000,3.038553950995265,2000,1882,0.279,0.269,0.203,0.391,0.057,0.378,0.197,-0.076,42,9,0,0,0,0,0,0
3000,3.508706408996659,2078,2051,0.288,0.28,0.268,0.155,0.213,0.337,-0.16,0.053,42,9,0,0,0,0,0,0
3000,4.089311155999894,2254,2133,0.315,0.297,0.271,0.222,-0.037,0.187,0.027,-0.155,42,9,0,0,0,0,0,0
3000,4.569323364994489,2319,2286,0.317,0.304,0.177,0.147,0.201,-0.095,-0.033,0.03,42,9,0,0,0,0,0,0
4000,0.10075554899958661,2222,2319,0.311,0.313,0.313,0.235,0.351,0.036,0.083,0.202,42,9,0,0,0,0,0,0
4000,0.5653360130017973,2424,2286,0.311,0.321,0.226,0.303,0.013,0.16,-0.037,-0.255,42,9,0,0,0,0,0,0
4000,1.040199504001066,2424,2424,0.336,0.327,0.277,0.162,0.137,0.141,0.03,-0.006,42,9,0,0,0,0,0,0
4000,1.5133945990019129,2500,2500,0.351,0.326,0.243,0.212,0.168,0.42,0.212,-0.247,42,9,0,0,0,0,0,0
4000,2.0753536199990776,2540,2581,0.35,0.33,0.247,0.106,0.171,0.517,0.248,0.215,42,9,0,0,0,0,0,0
4000,2.5509981860013795,2667,2759,0.37,0.359,0.32,0.165,0.29,0.385,0.211,-0.31,42,9,0,0,0,0,0,0
4000,3.0270381849986734,2857,2712,0.39,0.358,0.173,0.29,0.116,-0.078,-0.056,0.011,42,9,0,0,0,0,0,0
4000,3.592306860999088,2857,2857,0.389,0.374,0.302,0.298,0.301,0.283,-0.293,0.166,42,9,0,0,0,0,0,0
4000,4.061076293997758,2963,2857,0.402,0.384,0.215,0.357,0.24,0.321,0.178,0.247,42,9,0,0,0,0,0,0
4000,4.523669879999943,3137,3077,0.414,0.389,0.16,0.333,0.172,0.462,-0.076,-0.356,42,9,0,0,0,0,0,0
