target,t,erpm,duty,iq_target,iq_ref,iq,id,hall_period_rejects,hall_sequence_rejects,current_trips,fault
500,0.10040301600383827,0,0.004,0.502,0.056,0.101,0.113,121,0,0,0
500,0.4129399680023198,0,0.025,0.65,0.243,0.586,0.578,121,0,0,0
500,0.8256284610033617,357,0.097,0.28,0.28,0.277,-0.027,122,0,0,0
500,1.2373439259972656,299,0.079,0.28,0.245,0.242,-0.001,122,0,0,0
500,1.6497551549982745,523,0.074,0.12,0.12,0.186,-0.322,122,0,0,0
500,2.0638074329981464,421,0.092,0.28,0.28,0.487,0.185,122,0,0,0
500,2.4757281429992872,363,0.083,0.28,0.28,0.406,0.046,122,0,0,0
500,2.8876482999985456,407,0.074,0.28,0.158,0.036,0.011,122,0,0,0
1000,0.10042918600083794,269,0.076,1.5,0.338,0.393,-0.133,122,0,0,0
1000,0.4093657900011749,1301,0.203,-1.5,0.19,0.257,0.043,122,0,0,0
1000,0.8194932320038788,328,0.051,1.5,0.123,0.102,0.025,122,0,0,0
1000,1.2317584800039185,261,0.092,1.5,0.371,0.345,0.047,124,0,0,0
1000,1.6439743110022391,1616,0.237,-1.5,0.151,0.168,0.041,124,0,0,0
1000,2.0589103670063196,385,0.054,1.5,0.118,0.81,-0.658,124,0,0,0
1000,2.4709274020060548,314,0.084,1.5,0.366,0.317,0.036,124,0,0,0
1000,2.8849416230004863,1553,0.227,-1.5,0.153,-0.018,0.015,124,0,0,0
2000,0.10042025000439025,1119,0.148,0.342,0.342,0.237,0.117,124,0,0,0
2000,0.4119267479982227,1356,0.251,0.732,0.732,0.837,0.085,124,0,0,0
2000,0.8246582889987621,1839,0.279,0.375,0.375,0.341,0.195,124,0,0,0
2000,1.2391085480048787,2051,0.284,0.16,0.16,0.3,-0.05,124,0,0,0
2000,1.6510206570019363,2025,0.298,0.282,0.282,0.181,0.015,124,0,0,0
2000,2.0636082780038123,2051,0.297,0.146,0.146,0.047,0.167,124,0,0,0
2000,2.4812300620033056,2000,0.298,0.397,0.397,0.403,0.463,124,0,0,0
2000,2.892495770000096,1951,0.296,0.632,0.632,0.252,0.081,124,0,0,0
2000,3.2045329899992794,2000,0.299,0.387,0.387,0.216,0.175,124,0,0,0
3000,0.10074809299840126,2192,0.303,-0.075,-0.075,0.371,-0.203,124,0,0,0
3000,0.4126331720035523,2424,0.348,0.327,0.327,0.232,0.068,124,0,0,0
3000,0.8246938090014737,2857,0.399,0.231,0.231,0.022,-0.032,124,0,0,0
3000,1.2367564230007702,2963,0.427,0.56,0.56,0.522,0.003,124,0,0,0
3000,1.6487754830013728,3019,0.419,0.276,0.276,0.212,0.247,124,0,0,0
3000,2.060764581998228,3019,0.42,0.271,0.271,0.031,-0.096,124,0,0,0
3000,2.4753609110048274,3077,0.412,-0.023,-0.023,0.048,-0.048,124,0,0,0
3000,2.8878566150015104,3019,0.411,0.261,0.261,0.207,0.008,124,0,0,0
3000,3.2035613320040284,3019,0.422,0.258,0.258,-0.007,-0.25,124,0,0,0
3000,3.615790365001885,3077,0.415,-0.035,-0.035,0.031,-0.241,124,0,0,0
3000,4.028053727997758,3019,0.422,0.251,0.251,0.273,0.106,124,0,0,0
4000,0.10034858099970734,3077,0.422,0.472,0.472,1.527,0.061,124,0,0,0
4000,0.4118233120025252,3404,0.496,0.393,0.393,0.213,1.086,124,0,0,0
4000,0.8236004120044527,3810,0.473,0.432,0.432,1.957,-0.221,124,0,0,0
4000,1.2358074730000226,4000,0.541,0.343,0.343,0.113,-0.008,124,0,0,0
4000,1.6480775130039547,4000,0.534,0.341,0.341,0.072,0.031,124,0,0,0
4000,2.0578174680049415,4000,0.543,0.337,0.337,0.855,0.02,124,0,0,0
4000,2.4682770959989284,4103,0.527,-0.18,-0.18,0.303,-0.376,124,0,0,0
4000,2.8789695919986116,4000,0.542,0.333,0.333,0.166,-0.087,124,0,0,0
4000,3.2912186840039794,4000,0.55,0.33,0.33,0.311,0.09,124,0,0,0
4000,3.6032550780000747,4000,0.521,-0.186,-0.186,0.023,-0.256,124,0,0,0
4000,4.015884528002061,4000,0.545,0.325,0.325,0.161,-0.007,124,0,0,0
4000,4.427099364998867,4000,0.544,0.323,0.323,0.292,0.04,124,0,0,0
