phase,t,erpm,iq,id,imotor,ibat,duty,vd,vq,vin,fault,position,position_target
run,0.0053793749998476414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0
run,0.06019453399994745,0.0,1.01,0.01,1.01,0.02,0.1,-0.38,2.382,42.3,0,0,0
stop,0.006657745999746112,1185.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,42.3,0,0,0
stop,0.06138548099988839,924.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0
stop,0.11604665599998043,740.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,42.3,0,0,0
stop,0.1707446299997173,506.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,42.3,0,0,0
stop,0.22544289300003584,381.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0
stop,0.2801905319997786,381.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0
stop,0.3373190100001011,381.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0
stop,0.39201769000010245,381.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,42.3,0,0,0
stop,0.44665662799980055,381.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0
stop,0.5013613579999401,381.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0
stop,0.5560941210001147,381.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0
stop,0.610787522999999,381.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0
stop,0.6654693420000513,381.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0
stop,0.7202114159999837,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0
stop,0.7749960510000165,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,42.3,0,0,0
