phase,t,erpm,iq,id,imotor,ibat,duty,vd,vq,vin,fault,position,position_target,candidate,target_command
run,0.005381209999995917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0045, 0.004, 0.0]",600.0
run,0.050101590000394935,0.0,0.67,0.01,0.0,0.0,0.121,-0.525,2.858,42.3,0,0,0,"[0.0045, 0.004, 0.0]",600.0
stop,0.006656801000190171,1269.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0045, 0.004, 0.0]",600.0
stop,0.0613821580000149,1038.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0045, 0.004, 0.0]",600.0
stop,0.1161016269998072,860.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0045, 0.004, 0.0]",600.0
stop,0.17107281000016883,672.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0045, 0.004, 0.0]",600.0
stop,0.22582914299982804,500.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0045, 0.004, 0.0]",600.0
stop,0.28059312400000636,392.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0045, 0.004, 0.0]",600.0
stop,0.3353223250001065,392.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0045, 0.004, 0.0]",600.0
stop,0.3900233969998226,392.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0045, 0.004, 0.0]",600.0
stop,0.4448247899999842,392.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0045, 0.004, 0.0]",600.0
stop,0.4995740230001502,392.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0045, 0.004, 0.0]",600.0
stop,0.5563499859999865,392.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0045, 0.004, 0.0]",600.0
stop,0.6111355379998713,392.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0045, 0.004, 0.0]",600.0
stop,0.665860610999971,392.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0045, 0.004, 0.0]",600.0
stop,0.720584596000208,392.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0045, 0.004, 0.0]",600.0
stop,0.7753523239998685,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0045, 0.004, 0.0]",600.0
run,0.005381209999995917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0045, 0.004, 0.0]",600.0
