case,motor,kp,ki,kd,target,phase,t,erpm,iq,id,imotor,iin,duty,vq,vd,fault
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.00023172199871623889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.05484001899822033,5.0,0.12,0.0,0.12,0.0,0.045,0.95,0.149,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.10948677799751749,5.0,0.46,0.0,0.47,0.0,0.049,1.041,0.204,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.16426591699928395,2.0,0.51,0.0,0.51,0.0,0.057,1.207,0.202,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.2190534649998881,2.0,0.55,0.0,0.55,0.0,0.048,1.008,0.229,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.2740056029979314,2.0,0.59,0.0,0.59,0.0,-0.046,-0.854,0.49,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.32881336100035696,2.0,0.62,0.0,0.62,0.0,0.05,1.036,0.248,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.3835089389976929,2.0,0.66,0.0,0.66,0.0,0.052,1.087,0.249,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.4383044440000958,2.0,0.7,0.0,0.7,0.0,0.053,1.104,0.245,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.49328349200004595,2.0,0.73,0.0,0.73,0.0,0.052,1.09,0.273,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.5486741770000663,2.0,0.77,0.0,0.77,0.0,0.046,0.926,0.321,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.6032023419975303,2.0,0.81,0.0,0.81,0.0,0.045,0.919,0.315,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.6580223999990267,2.0,0.84,0.0,0.84,0.0,0.059,1.236,0.24,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.7129692550006439,2.0,0.88,0.0,0.88,0.0,0.047,0.961,0.337,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.7677855269976135,2.0,0.92,0.0,0.92,0.0,0.055,1.145,0.282,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.8227105250007298,2.0,0.95,0.0,0.95,0.0,0.054,1.124,0.29,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.8773367909998342,2.0,0.99,0.0,0.99,0.0,0.054,1.114,0.301,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.9322281269996893,13.0,1.02,0.0,1.02,0.0,0.054,1.122,0.299,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,0.9867824369976006,33.0,1.04,0.01,1.04,0.0,0.052,1.114,-0.05,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,1.041398430999834,58.0,1.03,0.01,1.03,0.0,0.064,1.37,-0.142,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,1.0961266289996274,75.0,1.04,-0.02,1.04,0.02,0.064,1.363,0.199,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,1.1509317979980551,92.0,1.04,0.01,1.04,0.02,0.068,1.418,-0.307,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,1.2058956830005627,97.0,1.04,-0.02,1.04,0.02,0.067,1.423,0.252,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,1.2608769479993498,100.0,1.06,0.02,1.07,0.02,0.066,1.403,-0.152,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,1.3157188379991567,100.0,1.08,-0.02,1.08,0.02,0.068,1.434,0.221,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,1.3705767829997058,103.0,1.1,0.02,1.1,0.02,0.07,1.505,-0.103,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,1.425348500997643,111.0,1.13,-0.03,1.13,0.02,0.067,1.403,0.339,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,1.4802656869978819,122.0,1.13,0.01,1.13,0.02,0.07,1.487,0.167,0
left_kp0.002_ki0.003_kd0_+300_r1,left,0.002,0.003,0.0,300.0,run,1.534837212999264,117.0,1.15,0.02,1.15,0.02,0.069,1.472,-0.171,0
