case,motor,kp,ki,kd,target,phase,t,erpm,iq,id,imotor,iin,duty,vq,vd,fault
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.00037619200156768784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.05557822500122711,0.0,0.19,0.0,0.2,0.0,0.088,1.878,-0.125,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.11151576599877444,0.0,0.22,0.01,0.22,0.02,0.069,1.456,-0.237,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.16632920199845103,0.0,0.11,-0.01,0.11,0.0,0.056,1.203,0.009,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.22121341100137215,0.0,0.22,0.0,0.22,0.0,0.063,1.354,-0.037,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.2758340930013219,211.0,0.19,0.0,0.19,0.02,0.069,1.478,-0.069,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.33068112199907773,191.0,0.13,0.0,0.14,0.02,0.079,1.674,-0.226,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.385322919999453,220.0,0.15,-0.01,0.15,0.0,0.066,1.417,-0.087,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.440105573998153,218.0,0.16,0.01,0.16,0.0,0.08,1.702,-0.273,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.4946875089990499,222.0,0.16,0.0,0.16,0.02,0.071,1.506,-0.186,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.5492474419988866,217.0,0.14,0.0,0.14,0.0,0.054,1.159,-0.102,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.6038992319990939,197.0,0.2,0.0,0.2,0.02,0.073,1.549,-0.232,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.6587435859983088,225.0,0.16,0.0,0.16,0.02,0.076,1.607,-0.235,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.7135363730012614,223.0,0.12,0.0,0.12,0.0,0.059,1.257,-0.131,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.7674178310007846,230.0,0.21,0.0,0.21,0.02,0.075,1.615,-0.089,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.8222150959991268,232.0,0.14,0.0,0.14,0.02,0.071,1.509,-0.193,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.8770196650002617,219.0,0.16,0.0,0.16,0.02,0.07,1.487,-0.199,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.9319915669984766,238.0,0.18,0.0,0.18,0.02,0.078,1.663,-0.183,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,0.9868396659985592,238.0,0.13,0.0,0.13,0.0,0.064,1.373,-0.007,0
right_kp0.002_ki0.001_+300,right,0.002,0.001,0.0,300,run,1.041757087001315,221.0,0.2,0.0,0.2,0.0,0.076,1.619,-0.164,0
